URL,Title,Date,Story
https://www.bharian.com.my/sukan/bola/2025/05/1399159/fernandes-sedia-bantu-united-dapatkan-rm114-bilion,Fernandes sedia bantu United dapatkan RM1.14 bilion,"Mei 22, 2025 @ 7:05pm","MANCHESTER: Bruno Fernandes menyatakan dia bersedia meninggalkan Manchester United sekiranya pasukan itu mahu menjualnya selepas The Red Devils kecundang di final Liga Europa, awal pagi tadi.
Laporan sebelum ini menyebut kelab Liga Pro Saudi, Al-Hilal sedia memecahkan rekod perpindahan Britain dengan membayar RM1.14 bilion bagi kontrak selama tiga tahun demi mendapatkan khidmat Fernandes.
United akan berdepan tekanan kewangan selepas gagal mendapatkan imbuhan RM572 juta susulan tumbang 0-1 di tangan Tottenham pada aksi final Liga Europa di Bilbao.
Meskipun United tampak sukar melepaskan kapten pasukan itu namun Fernandes sedia berbuat demikian jika itu jalan terbaik untuk United.
""Saya sentiasa jujur. Jika pasukan berpendapat sudah tiba masanya untuk kami berpisah kerana mereka mahu mendapatkan wang, maka itulah yang akan berlaku. Beginilah lumrah bola sepak.
""Saya sentiasa menyatakan yang saya akan kekal berada di sini sehinggalah pasukan katakan kepada saya sudah tiba masanya untuk saya keluar.
""Saya mahu memberikan lebih banyak buat United dan cuba membawa pasukan ini kembali ke zaman kegemilangannya,"" kata Fernandes.
Dalam masa sama, Fernandes tetap yakin bahawa Ruben Amorim adalah calon terbaik untuk membawa United maju ke depan meskipun United menamatkan kempen di tangga terburuk dalam sejarah kelab dan gagal layak ke Liga Juara-Juara.
""Kami bersetuju bahawa beliau adalah orang yang tepat. Beliau melakukan banyak perkara yang bagus. Kami tahu pengurus dinilai berdasarkan keputusan tetapi sebagai pemain, kami menilai lebih daripada itu.
""Ini bukanlah keputusan saya tetapi saya rasa Amorim adalah individu yang tepat dan tiada lagi orang yang lebih baik untuk memikul tanggungjawab itu,"" katanya. -AGENSI"
https://www.bharian.com.my/sukan/bola/2025/05/1399088/kedah-perak-boleh-beraksi-di-liga-a1,"Kedah, Perak boleh beraksi di Liga A1","Oleh Syafiq Aznan - Mei 22, 2025 @ 4:29pm","KUALA LUMPUR: Kedah Darul Aman (KDA) FC dan Perak FC masih boleh 'bernyawa' memandangkan dua gergasi bola sepak tempatan itu boleh meneruskan persaingan dalam Liga A1.
Pengerusi Liga Bolasepak Amatur (AFL), Datuk Mohd Yusoff Mahadi menjelaskan pihaknya mengalu-alukan kehadiran KDA FC dan Perak FC selepas dua pasukan itu tidak dapat beraksi dalam Liga Super musim depan susulan kegagalan mendapat lesen kebangsaan.
Yusoff menegaskan saingan amatur itu boleh menjadi ruang untuk mereka terus bersaing dan tidak 'berkubur' sepenuhnya.
""Kita tak mahu bila pasukan jatuh, terus hilang. Liga A1 ini jadi platform untuk KDA FC dan Perak FC terus hidup, terus berjuang,"" katanya ketika ditemui pada Majlis Penyerahan kenderaan kepada Persatuan Bolasepak Malaysia (FAM), hari ini.
ADVERTISEMENT
Terdahulu, KDA FC dan Perak FC terpaksa mengucapkan selamat tinggal kepada saingan Liga Super selepas gagal mendapat lesen kebangsaan untuk beraksi pada musim depan.
Perkembangan itu diumumkan Pengerusi First Instance Body (FIB), Sheikh Mohd Nasir Sheikh Mohd Shariff dalam satu kenyataan, hari ini.
Sheikh Mohd Nasir menjelaskan dua pasukan itu gagal mendapatkan lesen kebangsaan selepas permohonan mereka tidak memenuhi kriteria kewangan yang ditetapkan dalam MFL CLR.
Pada masa sama, Yusoff yang juga Timbalan Presiden FAM berkata, kejatuhan KDA FC dan Perak FC harus dilihat sebagai satu proses pemulihan untuk mereka kembali menyusun pasukan sebagai persiapan untuk masa akan datang.
""Pasukan seperti ini perlu ruang untuk ambil nafas, susun balik pasukan dan perlahan-lahan bina kekuatan.
""Harapan kita, suatu hari nanti mereka akan kembali ke liga utama,"" katanya."
https://www.bharian.com.my/sukan/bola/2025/05/1399036/kedah-perak-berkubur-gagal-dapat-lesen-liga-super,"Kedah, Perak 'berkubur', gagal dapat lesen Liga Super","Oleh Syafiq Aznan - Mei 22, 2025 @ 3:27pm","KUALA LUMPUR: Dua gergasi bola sepak tempatan, Kedah Darul Aman (KDA) FC dan Perak FC terpaksa mengucapkan selamat tinggal kepada saingan Liga Super selepas gagal mendapat lesen kebangsaan untuk beraksi pada musim depan.
Perkembangan itu diumumkan Pengerusi First Instance Body (FIB), Sheikh Mohd Nasir Sheikh Mohd Shariff dalam satu kenyataan, hari ini.
Sheikh Mohd Nasir menjelaskan dua pasukan itu gagal mendapatkan lesen kebangsaan selepas permohonan mereka tidak memenuhi kriteria kewangan yang ditetapkan dalam MFL CLR.
""Lapan kelab Liga Super diberikan lesen kebangsaan iaitu Johor Darul Ta'zim FC (JDT) Selangor FC, Penang FC, Kuching City FC, Sabah FC, Terengganu FC, Sri Pahang FC dan Negeri Sembilan FC,"" katanya.
Sementara itu, Sheikh Mohd Nasir memaklumkan tiga pasukan diberikan lesen kebangsaan bersyarat iaitu adalah Kuala Lumpur City FC, Kelantan Darul Naim FC dan PDRM FC mengikut artikel 8 (l) MFL CLR.
""Kuala Lumpur City FC, Kelantan Darul Naim FC, dan PDRM FC diberikan Lesen Kebangsaan oleh FIB dengan bersyarat di mana kelab-kelab itu perlu mengemukakan maklumat kewangan tambahan bagi memenuhi Kriteria Kewangan selewat-lewatnya pada 31 Mei 2025.
""Kegagalan mematuhi ketetapan itu dalam tempoh masa yang ditetapkan boleh menyebabkan lesen kebangsaan Kuala Lumpur City FC, Kelantan Darul Naim FC dan PDRM FC ditarik balik oleh FIB,"" katanya.
Selain itu, dua pasukan daripada AFL A1 iaitu Melaka FC dan Imigresen FC juga berjaya mendapatkan Lesen Kebangsaan apabila permohonan Lesen Kebangsaan Luar Biasa dengan merujuk Artikel 15 untuk Kitaran Pelesenan Kelab MFL 2024-2025 bagi saingan Liga Super musim 2025-2026 diluluskan oleh FIB."
https://www.bharian.com.my/sukan/bola/2025/05/1398993/tindakan-pasukan-besar-tarik-diri-ancam-liga-m,Tindakan pasukan besar tarik diri ancam Liga M,"Oleh Syafiq Aznan - Mei 22, 2025 @ 2:18pm","KUALA LUMPUR: Bekas pemain bola sepak kebangsaan, Reduan Abdullah jelas gusar terhadap masa depan Liga Malaysia (Liga M) selepas beberapa pasukan terkemuka dilaporkan berisiko menarik diri daripada menyertai musim baharu nanti.
Bekas jurulatih UiTM FC itu menegaskan perkembangan berkenaan bukan sahaja menjejaskan reputasi liga malah turut mencerminkan situasi kurang sihat dalam arena bola sepak negara.
""Bukan saya sahaja yang risau, peminat juga mulai persoalkan hala tuju liga kita.
""Bila pasukan besar seperti Kedah, Perak dan Sri Pahang dikhabarkan bakal tarik diri, ia memberi impak besar kepada ekosistem bola sepak negara,"" katanya.
Pada masa sama, Reduan turut melihat ketiadaan pasukan besar dalam Liga M akan turut menyebabkan liga 'sendu' dan kurang persaingan dalam kalangan pasukan yang bertanding.
""Kita lihat sendiri kalau tiada pasukan besar, minat penonton akan berkurang, penaja pun mula berfikir dua kali.
""Ini boleh memberi kesan domino kepada perkembangan bola sepak tempatan.
""Masalah kewangan bukan baru tapi kalau tiada tindakan serius, kesannya bukan saja pada pasukan tetapi juga pada bola sepak negara secara keseluruhan,"" katanya.
Terdahulu, petanda positif boleh dijangkakan di sebalik timbul khabar angin beberapa pasukan mahu menarik diri selepas semua pasukan Liga Super menunjukkan komitmen untuk menyertai kancah elit itu.
Perkembangan itu disahkan Pemangku Ketua Pegawai Eksekutif Liga Bolasepak Malaysia (MFL), Mohd Shazli Shaik Mohd namun segala kelulusan tetap tertakluk di tangan First Instance Body (FIB).
""Semua pasukan Liga Super dan dua pasukan Liga A1 Semi-Pro iaitu juara serta naib juara sudah membuat permohonan bagi permohonan lesen kebangsaan,"" kata Shazli."
https://www.bharian.com.my/sukan/bola/2025/05/1398920/wydad-nafi-khabar-angin-perpindahan-ronaldo,Wydad nafi khabar angin perpindahan Ronaldo,"Mei 22, 2025 @ 11:17am","RABAT, Maghribi: Wydad Casablanca menafikan sedang berunding untuk menandatangani kapten Portugal, Cristiano Ronaldo dari Al-Nassr.
Media Sepanyol, Marca melaporkan yang Wydad berharap dapat menandatangani pemenang lima kali Ballon d'Or itu untuk membantu mereka mengharungi Piala Dunia Kelab yang akan berlangsung di Amerika Syarikat bulan depan.
""Ia hanya perbincangan santai antara presiden Wydad dan ejen yang rapat dengan Ronaldo, tanpa sebarang perkara rasmi dibincangkan,"" menurut sumber rapat dengan Wydad.
Ronaldo, 40, adalah penjaring terbanyak Liga Pro Saudi dengan 24 gol musim ini.
Wydad, yang kali terakhir muncul juara Afrika pada tahun 2022, akan berdepan Manchester City pada 18 Jun sebelum bertemun Juventus dan Al-Ain dalam saingan Kumpulan G Piala Dunia Kelab. - REUTERS"
https://www.bharian.com.my/sukan/bola/2025/05/1398910/kualiti-terburuk-sejarah-final-eropah-morgan,Kualiti terburuk sejarah final Eropah - Morgan,"Mei 22, 2025 @ 11:05am","LONDON: Final Liga Europa yang menemukan dua pasukan di atas garis penyingkiran Liga Perdana Inggeris, Manchester United dan Tottenham Hotspur, dinanti-nantikan sebahagian peminat seperti pertembungan dua pasukan terbaik Eropah.
Namun sebaik wisel sepak mula ditiup, ia berlangsung penuh hambar, sama seperti prestasi kedua-dua pasukan itu sepanjang musim dalam saingan domestik.
Tottenham yang dianggap pasukan 'underdog' dalam perlawanan itu, meledak gol kemenangan menerusi Brennan Johnson pada minit ke-42, dan skuad kendalian Ange Postecoglou sekadar mempertahankan kelebihan itu sehingga wisel penamat.
Spurs layak ke Liga Juara-Juara Eropah musim depan dengan kemenangan itu, situasi yang dikritik ramai termasuk bekas pengendali legenda Arsenal, Arsene Wenger dan wartawan British, Piers Morgan.
""Ini mungkin permainan dengan kualiti terburuk dalam sejarah final bola sepak Eropah. Sangat mengejutkan - dan salah satu daripada mereka akan berada di Liga Juara-Juara Eropah musim depan,"" kata Morgan.
Sebelum perlawanan, Wenger menyatakan tidak sepatutnya salah satu daripada pasukan di tangga ke-16 dan 17 Liga Perdana Inggeris layak berada di pentas tertinggi Eropah musim depan.
Bekas penyerang Liverpool, Real Madrid dan England, Michael Owen juga kecewa dengan persembahan kedua-dua pasukan di San Mames, Bilbao itu.
""Sukar untuk dipercayai betapa rendahnya standard perlawanan ini. Tidak satu pasukan pun mampu membuat tiga hantaran berturut-turut,"" kata bekas pemenang Ballon d'Or itu. - AGENSI"
https://www.bharian.com.my/sukan/bola/2025/05/1398900/man-united-semakin-parah-keane,Man United semakin parah - Keane,"Mei 22, 2025 @ 10:29am","LONDON: Legenda Manchester United, Roy Keane menyelar bekas pasukannya selepas kekalahan kepada Tottenham pada final Liga Europa di Bilbao awal pagi tadi.
Skuad kendalian Ruben Amorim tewas 1-0 hasil jaringan Brennan Johnson di akhir babak pertama aksi di San Mames, dan United cuba bangkit di babak kedua tetapi gagal menewaskan penjaga gol Spurs, Guglielmo Vicario.
""Ingatkan keadaan tidak akan menjadi lebih buruk buat Man United. Ia cerita yang sama sepanjang tahun.
""Mereka terlepas kerana bola sepak Eropah dan ia menutup kepincangan di Man United. Sepanjang musim mereka mudah ditewaskan.
ADVERTISEMENT
""Mereka bernasib baik beberapa kali di Eropah dan malam ini sekali lagi, malangnya ia tidak cukup bagus. Mereka tidak menunjukkan kualiti yang baik. Tidak cukup pilihan di bangku simpanan.
""Jika anda mengharapkan Harry Maguire untuk menyelamatkan anda, anda bermasalah besar,"" kata Keane.
United gagal mencari jawapan dalam perlawanan yang kurang berkualiti antara pasukan di tangga ke-16 dan 17 Liga Perdana Inggeris itu, dan hanya mempunyai satu percubaan tepat menerusi Luke Shaw di akhir permainan.
Maguire menjadi penyelamat United di peringkat suku akhir apabila jaringannya pada aksi timbal balik di Old Trafford memberikan kemenangan 7-6 secara agregat ke atas Lyon.
Dalam aksi di San Mames, Tottenham memenangi perlawanan walaupun hanya mempunyai tiga percubaan, menguasai cuma 27.7 peratus permainan dan melakukan 115 hantara sepanjang malam. - AGENSI"
https://www.bharian.com.my/sukan/bola/2025/05/1398886/heung-min-anggap-dirinya-legenda-spurs,Heung-min anggap dirinya legenda Spurs,"Mei 22, 2025 @ 10:05am","BILBAO: Son Heung-min berseloroh yang dia tidak akan pulang dari final Liga Europa selepas mencapai status 'legenda' dengan menerajui Tottenham memenangi trofi.
Pemain Korea Selatan itu masuk sebagai pemain gantian untuk membantu Tottenham menewaskan Manchester United 1-0 pada aksi final di San Mames, Bilbao yang menamatkan kemarau kejuaraan 17 tahun kelab utara London itu.
""Saya boleh dianggap legenda, kenapa tidak. Dalam tempoh 17 tahun belum ada yang melakukannya, hari ini adalah harinya.
""Hari ini saya boleh katakan yang saya adalah legenda kelab, ayuh nikmatinya. Ia sangat menakjubkan, sesuatu yang sering saya impikan, jika ia menjadi kenyataan, saya adalah orang paling gembira di dunia,"" kata Heung-min.
ADVERTISEMENT
Tottenham akan menamatkan kempen dengan perlawanan Liga Perdana Inggeris menentang Brighton & Hove Albion di laman sendiri Ahad ini.
Namun bagi Heung-min, perlawanan terakhir itu tidak penting lagi kerana impiannya menjulang trofi sudah menjadi kenyataan.
""Saya merasakan tekanannya, saya terlalu inginkannya, tujuh perlawanan terakhir saya sudah mula membayangkannya.
""Saya tidak akan naik kapal terbang pulang! Hari ini hari untuk peminat meraikannya. Mungkin kita boleh abaikan perlawanan Brighton,"" katanya. - AGENSI"
https://www.bharian.com.my/sukan/bola/2025/05/1398859/buriram-united-ungguli-kejuaraan-kelab-asean,Buriram United ungguli Kejuaraan Kelab ASEAN,"Mei 22, 2025 @ 8:49am","BURIRAM, Thailand: Chatchai Bootprom menyelamatkan tiga sepakan penalti ketika Buriram United menewaskan Cong An Ha Noi 3-2 dalam penentuan penalti untuk memenangi Kejuaraan Kelab ASEAN (ACC).
Selepas masa tambahan, kedua-dua pasukan terikat 3-3 dan 5-5 secara agregat, dan penjaga gol 38 tahun, Bootprom menafikan penalti Jason Pendant Quang Vinh, Hugo Gomes dan Bui Hoang Viet Anh untuk memastikan kemenangan buat juara Liga 1 Thailand kendalian Osmar Loss itu.
""Saya belum pernah mengalami pengalaman dramatik seperti ini dalam karier saya. Saya rasa bangga dapat memenangi trofi ini.
""Kami mahu memenangi trofi ini kerana kami mahu menjadi pasukan nombor satu ASEAN,"" kata Chatchai.
Selepas seri 2-2 pada aksi pertama di Hanoi minggu lalu, Pendant meletakkan pelawat di depan pada minit ke-15.
Cong An Ha Noi menambah jaringan menerusi sepakan penalti enam minit sebelum rehat, yang disempurnakan Leo Artur.
Peter Zulj merapatkan jurang untuk Buriram tujuh minit sebelum tamat permainan dan Lucas Crispim menyamakan kedudukan bagi mengheret permainan ke masa tambahan.
Crispim meletakkan Buriram di depan tetapi Cong An Ha Noi sekali lagi diberi sepakan penalti dan menyamakan kedudukan pada minit ke-105 untuk membawa perlawanan ke penentuan penalti. - REUTERS"
https://www.bharian.com.my/sukan/bola/2025/05/1398842/onana-dianggap-punca-man-united-tewas,Onana dianggap punca Man United tewas,"Mei 22, 2025 @ 8:05am","BILBAO: Andre Onana dikecam selepas kesilapannya menjurus kepada jaringan kemenangan Tottenham Hotspur pada final Liga Europa menentang Manchester United.
Penjaga gol United itu sering dikritik kerana melakukan kesilapan yang membawa padah sejak menyertai kelab pada musim panas 2023 di bawah pengendali ketika itu, Erik ten Hag.
Namun kesilapan di San Mames, Bilbao sukar diterima apabila Onana gagal menyelamatkan hantaran lintang Pape Sarr yang terkena Johnson dan Luke Shaw sebelum dikuis masuk pemain Spurs itu.
Onana dilabelkan penjaga gol paling teruk dalam sejarah Manchester United pada oleh bekas bintang kelab, Nemanja Matic menjelang pertemuan dengan Lyon pada April.
ADVERTISEMENT
Menurut statistik Opta, penjaga gol Cameroon itu mempunyai peratus perlawanan tanpa bolos paling rendah dan kedua paling teruk dalam peratusan menyelamatkan bola bagi mana-mana penjaga gol United yang bermain lebih 900 minit sejak musim 2003-04.
Gol di Bilbao itu memberikan Tottenham kemenangan keempat ke atas pesaing Liga Perdana Inggeris itu musim ini, selain tiket ke Liga Juara-Juara Eropah musim depan.
Final Liga Europa kali ini menampilkan dua kelab Liga Perdana Inggeris, Man United dan Spurs yang berada di tangga ke-16 dan 17 liga.
Hanya kemenangan akan menebus kehampaan kempen domestik mereka dan kali ini ia milik Spurs yang turut mengakhiri kemarau kejuaraan 17 tahun kelab. - AGENSI"
